Fakultet,,,,,,,,,
FDU,Kategorija,Potkategorija,Naslov,Godina,Autor,Izdavac,Tagovi,Link do knjige,Opis
,,,"The European Higher Education Area
The Impact of Past and Future Policies",2018,"Editors
Adrian Curaj
Ligia Deca
Remus Pricopie","Springer, Cham","Bologna Process
Diversification of Higher Education
EHEAEducation
 research and innovation
European Education Policies
Education Financing and Governance
Internalization of Higher Education
Social ",https://drive.google.com/file/d/1Ixgh0o_xxCB6MKRT9EetEvG5X-T3eYvr/view?usp=sharing,"Bridging the gap between higher education research and policy making was always a challenge, but the recent calls for more evidence-based policies have opened a window of unprecedented opportunity for researchers to bring more contributions to shaping the future of the European Higher Education Area (EHEA). The research volumes offer unique insights regarding the state of affairs of European higher education and research, as well as forward-looking policy proposals."
,,,"A Philosophy of Israel Education
A Relational Approach",2016,Barry Chazan,"Palgrave Macmillan, Cham","pedagogy
ethical education
person-centered education
identity
heritage 
religion and society",https://drive.google.com/file/d/1zAIHcZmYALrtxsXiKrx5cBNbN3twdrPf/view?usp=sharing,"This book develops a new philosophy of Israel education. “Person-centered” Israel education is concerned with developing in individual learners the ability to understand and make rational, emotional, and ethical decisions about Israel, and about the challenges Israel regularly faces, whether they be existential, spiritual, democratic, humanitarian, national."
,,,"Assessment in Mathematics Education
Large-Scale Assessment and Classroom Assessment",2016,"Christine Suurtamm
Denisse R. Thompson
Rae Young Kim
Leonora Diaz Moreno
Nathalie Sayac
Stanislaw Schukajlow
Edward Silver
Stefan Ufer
Pauline Vos","Springer, Cham","Formative Assessment
Large-scale Assessment
Classroom
Learning and instruction",https://drive.google.com/file/d/17mgZWB9y1rMVU3T5LaRva51-EcRhhIHO/view?usp=sharing,"This book provides an overview of current research on a variety of topics related to both large-scale and classroom assessment. The book concludes by discussing the challenges that teachers currently face, as well as ways to support them."
,,,Problem Solving in Mathematics Education,2016,"Peter Liljedahl
Manuel Santos-Trigo
Uldarico Malaspina
Regina Bruder","Springer, Cham","Problem Solving Research
 Heuristics
Creative Problem Solving
Technology
Mathematics
Educational Technology",https://drive.google.com/file/d/1Zf9U6B5iVtWROVJT6oZ7P5NcxKk7-oPj/view?usp=sharing,"This survey book reviews what ways of reasoning learners construct when they rely on the use of digital technologies, and how technology and technology approaches can be reconciled in the studz of Mathematics."
,,,"Research on Teaching and Learning Mathematics at the Tertiary Level
State-of-the-art and Looking Ahead",2016,"Irene Biza
Victor Giraldo
Reinhard Hochmuth
Azimeh Sadat Khakbaz
Chris Rasmussen","Springer, Cham","Mathematics
Teaching Practices
Studying 
Transition
Tertiary Mathematics
 Education
Textbooks",https://drive.google.com/file/d/1obF-0ZecuAdl3A4JPygQygRsFAQWn712/view?usp=sharing,"This topical survey focuses on research in tertiary mathematics education, a field that has experienced considerable growth over the last 10 years. Drawing on the most recent journal publications as well as the latest advances from recent high-quality conference proceedings, this book provides a complete overview of the topic."
,,,The Globalization of Science Curricula,2018,"Oliver Stacey
Giulia De Lazzari
Hilary Grayson
Hazel Griffin
Emily Jones
Amanda Taylor
David Thomas","Springer, Cham","Globalization
Science education
Curriculum
International assessments
TIMSS
Policy
reform",https://drive.google.com/file/d/1gU8EKmm_Of7qSPvGLl-EbMlf19IOJAv6/view?usp=sharing,This open access book provides a significant and timely investigation into the impacts that globalization has exerted on science curricula in a diverse range of countries using extensive data sets collected by the IEA between 1995 and 2015. 
,,,Computational Thinking Education,2019,"Editors 
Siu-Cheung Kong
Harold Abelson","Springer, Singapore","Competency Development
Computational Thinking Education
K-12
Programming 
STEM
Competency and Assessment
Non-formal Learning",https://drive.google.com/file/d/1_KY8ZpAUtKRguGIfSdjTi0OV7HcbSB1l/view?usp=sharing,"This book offers a comprehensive guide, covering every important aspect of computational thinking education. It provides an in-depth discussion of computational thinking, including the notion of perceiving computational thinking practices as ways of mapping models from the abstraction of data and process structures to natural phenomena."
,,,European Traditions in Didactics of Mathematics,2019,"Editors 
Werner Blum
Michèle Artigue
Maria Alessandra  Mariotti
Rudolf Sträßer
Marja Van den Heuvel-Panhuizen","Springer, Cham","Mathematics education
Theories of teaching and learning 
Empirical research
Design activities
History of mathematics education",https://drive.google.com/file/d/1vls6vRXRLeHOXceQeWSrC_ZvFhK0R0bC/view?usp=sharing,"This open access book discusses several didactic traditions in mathematics education in countries across Europe, including France, the Netherlands, Italy, Germany, the Czech and Slovakian Republics, and the Scandinavian states. It shows that while they all share common features both in the practice of learning and teaching at school and in research and development, they each have special features due to specific historical and cultural developments. The book also presents interesting historical facts about these didactic traditions, the theories and examples developed in these countries."
,,,"Open and Distance Education in Asia, Africa and the Middle East
National Perspectives in a Digital Age",2019,"Editors 
Olaf Zawacki-Richter
Adnan Qayyum","Springer, Singapore","education systems
open education
distance learning
online education
eLearning
National higher education systems
Open learning
Open Universities",https://drive.google.com/file/d/1LN6RYfxUaj0AC1oxGX7HyGHXTkH2KE2w/view?usp=sharing,"This book describes the history, structure and institutions of open and distance education in six countries: China, India, Russia, Turkey, South Africa and South Korea.  It describes how open and distance education is evolving in a digital age to reflect the needs and circumstances of the national higher education systems in these countries.  It also explores the similarities and differences between how their open and distance higher education systems are managed and structured. "
,,,"The Change Laboratory for Teacher Training in Entrepreneurship Education
A New Skills Agenda for Europe",2019,Daniele Morselli,"Springer, Cham","Teacher Training
Education
Theory
Expansive Learning
Entrepreneurship
Competence
Qualitative Research
Open Source
Lifelong Learning
Multidisciplary Project
Skills Agenda",https://drive.google.com/file/d/1d_EZYfbhbYgtZ-L6HEsUJd5yrP7F5MqF/view?usp=sharing,This open access book illustrates a new type of formative intervention for in-service teacher training in entrepreneurship education. The book describes a Change Laboratory and shows how teachers and workshop assistants develop the idea of a multidisciplinary project entailing the design of a self-service and parking lot in a dismissed area close to the city centre. 
,,,"The Responsible University
Exploring the Nordic Context and Beyond",2019,"Editors 
Mads P. Sørensen
Lars Geschwind
Jouni Kekäle
Rómulo Pinheiro","Palgrave Macmillan, Cham","Nordic Higher Education
Universities and mental health
Industry",https://drive.google.com/file/d/1LQp7DOcer0CeytacnQkXvnx0OuikvB7I/view?usp=sharing,"This book explores how the notion of the responsible university manifests itself at various levels within Nordic higher education. This book examines this phenomenon using the Nordic countries as cases in point, given the strong public commitment towards widening participation and public research investments. "
,,,"Audacious Education Purposes
How Governments Transform the Goals of Education Systems",2020,"Editors 
Fernando M. Reimers","Springer, Cham","Public education systems
Curriculum
Deeper Learning
Socio-emotional development
Education reform
Leadership
Comparative education",https://drive.google.com/file/d/1kafjnbxlvfCZKlD3jo-7Q4-n_7qygzV8/view?usp=sharing,"This open access book offers a comparative study of eight ambitious national reforms that sought to create opportunities for students to gain the necessary breath of skills to thrive in a rapidly changing world. It examines how national governments transform education systems to provide students opportunities to develop such skills. It analyses comprehensive education reforms in Brazil, Finland, Japan, Mexico, Peru, Poland, Portugal and Russia and yields original and important insights on the process of educational change. "
,,,"Intercultural Dialogue in the European Education Policies
A Conceptual Approach",2020,"Tuuli Lähdesmäki
Aino-Kaisa Koistinen
Susanne C. Ylönen","Palgrave Macmillan, Cham","Intercultural dialogue
Education policy
Cultural literacy
Inclusive education
Open access
European union politics",https://drive.google.com/file/d/1fQ_LC_TyFqvXaNP6jDPlSSn_RO1g99Nb/view?usp=sharing,"This open access book analyses intercultural dialogue as a concept, policy and ideal in European education policy documentation.  This book will be of interest and value to scholars of intercultural dialogue and European education policies. "
,,,"Systematic Reviews in Educational Research
Methodology, Perspectives and Application",2020,"Editors 
Olaf Zawacki-Richter
Michael Kerres
Svenja Bedenlier
Melissa Bond
Katja Buntins","Springer VS, Wiesbaden","Educational Research 
Reviews
Educational Technology
Academic Success
Education 
Research
Open Access",https://drive.google.com/file/d/1LTXx8CL9yj1f8rV3TBxi6RlC_Ir-65ur/view?usp=sharing,"In this open access edited volume, international researchers of the field describe and discuss the systematic review method in its application to research in education. Alongside fundamental methodical considerations, reflections and practice examples are included and provide an introduction and overview on systematic reviews in education research."
